Column1,name,dist,year,jewish_pop,total_pop,name_heb,dist_heb
873,Łańcut,Napt Lancut,1910,1880,5378,לַאנְצוּט,נפת לנצוט
722,Wadowice,Wadowice,1890,722,5374,וַאדוֹבִיצֶה,נפת ואדוביצה
992,Budzanów,Buzanów,1890,1764,5363,בודזאנוב,ביזינעוו
218,Zelow,,1921,1816,5362,זלוב,לאסק
692,Dąbrowa Tarnowska,,1845,993,5348,דוֹמְבְּרוֹבָה טַארְנוֹבְסְקָה,דומברובה
1132,Gliniany,Przemyślany,1910,2418,5344,גליניאני,פשמישלאני
1331,Turka,Turka,1890,2623,5330,טורקה,נפת טורקה
768,Żywiec,"Napt Żywiec, Mchuz Kraków",1921,2,5320,ז'יווייץ,"נפת ז'יווייץ, מחוז קראקוב"
986,Bóbrka,Bóbrka district,1900,2500,5315,בוברקה,נפת בוברקה
10,Ozorków,Łęczyca,1827,1034,5308,אוזורקוב,נפת לנצ'יצה
1418,Lubaczów,Lubaczów,1921,1715,5303,לובאצ'וב,נפת לובאצ'וב
754,Zakopane,Nowy Targ,1900,198,5298,זאקופאנֶה,נובי טארג
934,Obertyn,Horodenka,1900,2070,5298,אוֹברטין,נפת הורודנקה
884,Leżajsk,Łańcut,1910,1705,5296,ליז'נסק,נפת לאנצוט
551,Sieradz,,1857,1782,5256,שייראדז,נפת שייראדז
1199,Husiatyn,Nafat Kopychyntsi,1880,3782,5214,הושיאטין,נפת קופיצ'ינצה
1166,Delatyn,Nadvirna,1890,2096,5195,דלאטין,נפת נאדבורנה
666,Gorlice,Gorlice,1890,2884,5193,גורליצה,גורליצה
994,Budzanów,Buzanów,1910,1543,5183,בודזאנוב,ביזינעוו
227,Tomaszów Mazowiecki,Powiat Tomaszów Mazowiecki,1857,1879,5163,טומאשוב מאזובייצקי,נפת טומאשוב מאזובייצקי
295,Łęczyca,Powiat Łęczyca,1857,2286,5159,לנצ'יצה,נפת לנצ'יצה
483,Konin,,1857,2006,5147,קונין,נפת קונין
830,Jaworzno,Hшаnuв,1880,406,5131,יָאבוֹזְ'נוֹ,נפת חשאנוב
991,Budzanów,Buzanów,1880,1840,5124,בודזאנוב,ביזינעוו
663,Błażowa,Rzeszów,1921,930,5123,בְּלַאז'וֹבָה,ז'שוב
927,Nowy Targ,Nowy Targ,1880,464,5087,נובי טארג,נפת נובי טארג
1095,Belz,Sokal,1900,2872,5075,בלז,נפת סוקאל
885,Leżajsk,Łańcut,1921,4575,5063,ליז'נסק,נפת לאנצוט
662,Błażowa,Rzeszów,1910,933,5040,בְּלַאז'וֹבָה,ז'שוב
1061,Borszczów,,1921,1637,5011,בורשצ'וב,נפת בורשצ'וב
665,Gorlice,Gorlice,1880,2257,5000,גורליצה,גורליצה
