Location,dist,region,country,North,East,Alternative Name,county1900
Deschney (Destne v Orlickych horach), Rychov nad Kneznou, Kralovehradecky, Czech Republic,501817,162103,Deštné v Orlických horách,Austrian Empire
Dessendorf (Desna), Jablonec nad Nisou, Liberecky, Czech Republic,504550,151951,Desná,Austrian Empire
Deutsch Jasnik (Jesenik nad Odrou), Novy Jicin, Moravskoslezsky, Czech Republic,493643,175419,Jeseník nad Odrou,Austrian Empire
Deutsch Krawarn (Kravare), Opava, Moravskoslezsky, Czech Republic,495555,180017,Kravare,Austrian Empire
Deutsch Liebau (Libina), Sumperk, Olomoucky, Czech Republic,495235,165640,Libina,Austrian Empire
Deutschhause (Huzova), Olomouc, Olomoucky, Czech Republic,494912,171753,Huzová,Austrian Empire
Deutsch-Zerne (Srpska Crnja), Srednobanatski, Vojvodina, Serbia,454332,204142,CpncKa ^prta,Austrian Empire
Dielhau (Dehylov), Opava, Moravskoslezsky, Czech Republic,495210,180948,Dehylov,Austrian Empire
Dietkowitz (Detkovice), Prostejov, Olomoucky, Czech Republic,492455,170456,Detkovice,Austrian Empire
Dittersbach (Detrichov), Liberec, Liberecky, Czech Republic,505334,150212,Detrichov,Austrian Empire
Dittersdorf (Vetrkovice), Opava, Moravskoslezsky, Czech Republic,494650,174914,Vetrkovice,Austrian Empire
Diwischau (Divisov), Benešov, Stredocesky, Czech Republic,494719,145233,Divišov,Austrian Empire
Diwtschitz (Divcice), Ceske Budejovice, Jihocesky, Czech Republic,490631,141834,Divcice,Austrian Empire
Dnespek (Nespeky), Benešov, Stredocesky, Czech Republic,495134,143934,Nespeky,Austrian Empire
Dobbitz (Dobetice), Usti nad Labem, Ustecky, Czech Republic,504030,140322,Dobetice,Austrian Empire
Dobew (Dobev), Pisek, Jihocesky, Czech Republic,491745,140250,Dobev,Austrian Empire
Dobrey (Dobre), Rychov nad Kneznou, Kralovehradecky, Czech Republic,501611,161550,Dobré,Austrian Empire
Dobrichow (Dobrichov), Kolín, Stredocesky, Czech Republic,500447,150157,Dobrichov,Austrian Empire
Dobrin (Dobrin), Litomerice, Ustecky, Czech Republic,502613,141808,Dobrin,Austrian Empire
Dobromeritz (Dobromerice), Louny, Ustecky, Czech Republic,502213,134741,Dobromerice,Austrian Empire
Dobromielitz (Dobromilice), Prostejov, Olomoucky, Czech Republic,492147,170847,Dobromilice,Austrian Empire
Dobroslawitz (Dobroslavice), Opava, Moravskoslezsky, Czech Republic,495249,180827,Dobroslavice,Austrian Empire
Dobruschka (Dobruska), Rychov nad Kneznou, Kralovehradecky, Czech Republic,501731,160936,Dobruška,Austrian Empire
Dobschenitz (Dobrenice), Hradec Kralove, Kralovehradecky, Czech Republic,500852,153828,Dobrenice,Austrian Empire
Doehnis (Donin), Liberec, Liberecky, Czech Republic,505039,145041,Donín,Austrian Empire
Doerfel (Vesec), Liberec, Liberecky, Czech Republic,504420,150358,Vesec,Austrian Empire
Doeschen (Desna), Jindrichuv Hradec, Jihocesky, Czech Republic,485727,153234,Dešná,Austrian Empire
Doges (Doksy), Kladno, Stredocesky, Czech Republic,500709,140252,Doksy,Austrian Empire
Dolan (Dolany), Nachod, Kralovehradecky, Czech Republic,502248,155741,Dolany,Austrian Empire
Dollein (Dolany), Olomouc, Olomoucky, Czech Republic,493900,171921,Dolany,Austrian Empire
Doloplas (Doloplazy), Olomouc, Olomoucky, Czech Republic,493402,172441,Doloplazy,Austrian Empire
Doloplas (Doloplazy), Prostejov, Olomoucky, Czech Republic,492100,170936,Doloplazy,Austrian Empire
Domamislitz (Domamyslice), Prostejov, Olomoucky, Czech Republic,492752,170354,Domamyslice,Austrian Empire
Domauschitz (Domousice), Louny, Ustecky, Czech Republic,501403,134347,Domoušice,Austrian Empire
Domazelitz (Domazelice), Prerov, Olomoucky, Czech Republic,492540,173245,Domaželice,Austrian Empire
Donawitz (Stanovice), Karlovy Vary, Karlovarsky, Czech Republic,500955,125226,Stanovice,Austrian Empire
Doubraweitz (Doubravcice), Kolín, Stredocesky, Czech Republic,500120,144735,Doubravcice,Austrian Empire
Drabschitz (Travcice), Litomerice, Ustecky, Czech Republic,503012,141124,Travcice,Austrian Empire
Drahan (Drahany), Prostejov, Olomoucky, Czech Republic,492600,165351,Drahany,Austrian Empire
Drahanowitz (Drahanovice), Olomouc, Olomoucky, Czech Republic,493443,170437,Drahanovice,Austrian Empire
Drahotusch (Drahotuse), Prerov, Olomoucky, Czech Republic,493308,174100,Drahotuše,Austrian Empire
Drahowitz (Drahovice), Karlovy Vary, Karlovarsky, Czech Republic,501407,125325,Drahovice,Austrian Empire
Draschejow (Drazejov ), Strakonice, , Czech Republic,491622,135203,Drazejov,Austrian Empire
Draschitz (Drazice), Tabor, Jihocesky, Czech Republic,492546,143524,Dražice,Austrian Empire
Dreihacken (Tri Sekery), Cheb, Karlovarsky, Czech Republic,495632,123700,Tri Sekery,Austrian Empire
Dreihoefen (Tri Dvory), Kolín, Stredocesky, Czech Republic,500155,151524,Tri Dvory,Austrian Empire
Drhowel (Drhovle), Pisek, Jihocesky, Czech Republic,492002,140227,Drhovle,Austrian Empire
Droschdein (Drozdin), Olomouc, Olomoucky, Czech Republic,493658,171957,Droždín,Austrian Empire
Drosowitz (Strizovice), Jindrichuv Hradec, Jihocesky, Czech Republic,490824,150925,Strizovice,Austrian Empire
Drozdow (Drozdov), Beroun, Stredocesky, Czech Republic,495148,135026,Drozdov,Austrian Empire
Drschkow (Drzkov), Jablonec nad Nisou, Liberecky, Czech Republic,504115,151812,Držkov,Austrian Empire
Druschetz (Druzec), Kladno, Stredocesky, Czech Republic,500611,140244,Družec,Austrian Empire
Drzewohostitz (Drevohostice), Prerov, Olomoucky, Czech Republic,492531,173529,Drevohostice,Austrian Empire
Drzowitz (Drzovice), Prostejov, Olomoucky, Czech Republic,492928,170803,Držovice,Austrian Empire
Dub (Dub nad Moravou), Olomouc, Olomoucky, Czech Republic,492857,171638,Dub nad Moravou,Austrian Empire
Duben (Dubne), Ceske Budejovice, Jihocesky, Czech Republic,485835,142137,Dubné,Austrian Empire
Dubenetz (Dubenec), Trutnov, Kralovehradecky, Czech Republic,502240,154743,Dubenec,Austrian Empire
Dubi (Dubi), Kladno, Stredocesky, Czech Republic,500917,140801,Dubí,Austrian Empire
Duerrmaul (Drmoul), Cheb, Karlovarsky, Czech Republic,495621,123956,Drmoul,Austrian Empire
Dumrowitz (Domoradice), Cesky Krumlov, Jihocesky, Czech Republic,484932,142009,Domoradice,Austrian Empire
Dux (Duchcov), Teplice, Ustecky, Czech Republic,503614,134447,Duchcov,Austrian Empire
Ebersdorf (Habartice), Liberec, Liberecky, Czech Republic,510113,150347,Habartice,Austrian Empire
Eckersdorf (Jakartovice), Opava, Moravskoslezsky, Czech Republic,495454,174103,Jakartovice,Austrian Empire
Eger (Cheb), Cheb, Karlovarsky, Czech Republic,500446,122214,Cheb,Austrian Empire
Ehrenberg (Loucka), Novy Jicin, Moravskoslezsky, Czech Republic,493522,175911,Loucka,Austrian Empire
Eichicht (Doubi), Liberec, Liberecky, Czech Republic,504421,150301,Doubí,Austrian Empire
Eichwald (Dubi), Teplice, Ustecky, Czech Republic,504052,134720,Dubí,Austrian Empire
Eidlitz (Udlice), Chomutov, Ustecky, Czech Republic,502627,132727,Údlice,Austrian Empire
Einsiedel (Mnisek), Liberec, Liberecky, Czech Republic,504954,150323,Mníšek,Austrian Empire
Einsiedel (Mnichov), Bruntal, Moravskoslezsky, Czech Republic,500815,172247,Mnichov,Austrian Empire
Eipel (Upice), Trutnov, Kralovehradecky, Czech Republic,503045,160058,Úpice,Austrian Empire
Eisenberg (Ruda nad Moravou), Sumperk, Olomoucky, Czech Republic,495852,165240,Ruda nad Moravou,Austrian Empire
Eisenbrod (Zelezny Brod), Jablonec nad Nisou, Liberecky, Czech Republic,503834,151515,Železný Brod,Austrian Empire
Eisenstadtl (Zeleznice), Jicin, Kralovehradecky, Czech Republic,502822,152305,Železnice,Austrian Empire
Elbeteinitz (Tynec nad Labem), Kolín, Stredocesky, Czech Republic,500231,152130,Týnec nad Labem,Austrian Empire
Elbogen (Loket), Sokolov, Karlovarsky, Czech Republic,501110,124515,Loket,Austrian Empire
Eleonorenhain (Lenora), Prachatice, Jihocesky, Czech Republic,485521,134736,Lenora,Austrian Empire
Elexnitz (Olesnice), Ceske Budejovice, Jihocesky, Czech Republic,485029,144217,Olešnice,Austrian Empire
Elhenitz (Lhenice), Prachatice, Jihocesky, Czech Republic,485942,140859,Lhenice,Austrian Empire
Ellgoth (Marianske Hory), Ostrava-mesto, Moravskoslezsky, Czech Republic,494959,181458,Mariánské Hory,Austrian Empire
Ellgoth (Lhota ), Opava, Moravskoslezsky, Czech Republic,495419,180247,Lhota,Austrian Empire
Ellgoth-Hultschin (Lhotka ), Ostrava-mesto, Moravskoslezsky, Czech Republic,495121,181359,Lhotka,Austrian Empire
Emaus/Nemaus (Nemojov), Trutnov, Kralovehradecky, Czech Republic,502758,154518,Nemojov,Austrian Empire
Eulau (Jilove), Decin, Ustecky, Czech Republic,504539,140614,Jílové,Austrian Empire
Falkenau (Sokolov), Sokolov, Karlovarsky, Czech Republic,501047,123847,Sokolov,Austrian Empire
Fischern (Rybare), Karlovy Vary, Karlovarsky, Czech Republic,501409,125103,Rybäre,Austrian Empire
Fleissen (Plesna), Cheb, Karlovarsky, Czech Republic,501315,122048,Plesná,Austrian Empire
Floehau (Blsany), Louny, Ustecky, Czech Republic,501303,132817,Blšany,Austrian Empire
Forbes (Borovany), Ceske Budejovice, Jihocesky, Czech Republic,485355,143832,Borovany,Austrian Empire
Frankstadt (Frenstat pod Radhostem), Novy Jicin, Moravskoslezsky, Czech Republic,493254,181239,Frenstät pod Radhostem,Austrian Empire
Frankstadt (Novy Malin), Sumperk, Olomoucky, Czech Republic,495634,170155,Nový Malín,Austrian Empire
Franzensbad (Frantiskovy Lazne), Cheb, Karlovarsky, Czech Republic,500714,122107,Frantiskovy Läzne,Austrian Empire
Franzensdorf (Jerab), Liberec, Liberecky, Czech Republic,504538,150242,Jeräb,Austrian Empire
Franzensdorf (Frantiskov), Liberec, Liberecky, Czech Republic,504545,150213,Františkov,Austrian Empire
Frauenberg (Hluboka nad Vltavou), Ceske Budejovice, Jihocesky, Czech Republic,490308,142603,Hluboká nad Vltavou,Austrian Empire
Frei Hermersdorf (Svobodne Hermanice), Bruntal, Moravskoslezsky, Czech Republic,495646,174028,Svobodne Hermanice,Austrian Empire
Freiberg in Maehren (Pribor), Novy Jicin, Moravskoslezsky, Czech Republic,493824,180832,Pribor,Austrian Empire
Freiheit (Svoboda nad Upou), Trutnov, Kralovehradecky, Czech Republic,503734,154900,Svoboda nad Úpou,Austrian Empire
Freiheitsau (Haj ve Slezsku), Opava, Moravskoslezsky, Czech Republic,495400,180536,Háj ve Slezsku,Austrian Empire
Freihoefen (Svobodne Dvory), Hradec Kralove, Kralovehradecky, Czech Republic,501321,154707,Svobodné Dvory,Austrian Empire
Freudeneck (Volarna), Kolín, Stredocesky, Czech Republic,500531,151426,Volárna,Austrian Empire
Freudenthal (Bruntal), Bruntal, Moravskoslezsky, Czech Republic,495918,172753,Bruntál,Austrian Empire
Freywaldau (Jesenik), Jesenik, Olomoucky, Czech Republic,501346,171217,Jeseník,Austrian Empire
Friedberg (Frymburk), Cesky Krumlov, Jihocesky, Czech Republic,483940,140956,Frymburk,Austrian Empire
Friedeberg (Zulova), Jesenik, Olomoucky, Czech Republic,501834,170556,Žulová,Austrian Empire
Friedland (Frydlant), Liberec, Liberecky, Czech Republic,505513,150422,Frýdlant,Austrian Empire
Friedland an der Mohra (Bridlicna), Bruntal, Moravskoslezsky, Czech Republic,495442,172216,Bridlicnä,Austrian Empire
Friedrichsthal (Bedrichov), Trutnov, Kralovehradecky, Czech Republic,504347,153541,Bedrichov,Austrian Empire
Friedstein (Frydstejn), Jablonec nad Nisou, Liberecky, Czech Republic,503906,150932,Frýdštejn,Austrian Empire
Fulnek (Fulnek), Novy Jicin, Moravskoslezsky, Czech Republic,494245,175412,Fulnek,Austrian Empire
Gabel (Jablonne v Podjestedi), Liberec, Liberecky, Czech Republic,504555,144538,Jablonné v Podjestedí,Austrian Empire
Gablonz (Jablonec nad Nisou), Jablonec nad Nisou, Liberecky, Czech Republic,504328,151020,Jablonec nad Nisou,Austrian Empire
Galatz (Galati), , Galati, Romania,452631,280203,Galati,Austrian Empire
Gartitz (Skorotice), Usti nad Labem, Ustecky, Czech Republic,504128,140038,Skorotice,Austrian Empire
Gastorf (Hostka), Litomerice, Ustecky, Czech Republic,502919,142006,Hoštka,Austrian Empire
Gehaag (Haje), Cheb, Karlovarsky, Czech Republic,500340,122228,Háje,Austrian Empire
Georgenthal (Jiretin pod Bukovou), Jablonec nad Nisou, Liberecky, Czech Republic,504526,151555,Jiretín pod Bukovou,Austrian Empire
Georgswalde (Jirikov), Decin, Ustecky, Czech Republic,505933,143404,Jiríkov,Austrian Empire
Gertianosch (Carpinis), , Timis, Romania,454714,205416,Carpinis,Austrian Empire
Gesteinigt (Kamenna), Decin, Ustecky, Czech Republic,504616,140546,Kamenná,Austrian Empire
Giebau (Jivova), Olomouc, Olomoucky, Czech Republic,494233,172341,Jívová,Austrian Empire
Giesshuebl (Struzna), Karlovy Vary, Karlovarsky, Czech Republic,501100,130021,Stružná,Austrian Empire
Gießsshuebl-Sauerbrunn (Kyselka), Karlovy Vary, Karlovarsky, Czech Republic,501532,130001,Kyselka,Austrian Empire
Gilschwitz (Kylesovice), Opava, Moravskoslezsky, Czech Republic,495508,175452,Kylešovice,Austrian Empire
Glomnitz (Hlavnice), Opava, Moravskoslezsky, Czech Republic,495528,174340,Hlavnice,Austrian Empire
Gnoitz (Hnojice), Olomouc, Olomoucky, Czech Republic,494259,171327,Hnojice,Austrian Empire
Goerkau (Jirkov), Chomutov, Ustecky, Czech Republic,503000,132652,Jirkov,Austrian Empire
Goersdorf (Loucna), Liberec, Liberecky, Czech Republic,505053,144939,Loucná,Austrian Empire
Goettersdorf (Bolebor), Chomutov, Ustecky, Czech Republic,503224,132450,Bolebor,Austrian Empire
Gojau (Kajov), Cesky Krumlov, Jihocesky, Czech Republic,484839,141531,Kájov,Austrian Empire
Golddorf (Zlata), Sokolov, Karlovarsky, Czech Republic,500643,123352,Zlatá,Austrian Empire
Goldenkron (Zlata Koruna), Cesky Krumlov, Jihocesky, Czech Republic,485117,142210,Zlatá Koruna,Austrian Empire
Gossengruen (Krajkova), Sokolov, Karlovarsky, Czech Republic,501258,123203,Krajková,Austrian Empire
Gotschdorf (Hostalkovy), Bruntal, Moravskoslezsky, Czech Republic,500642,173559,Hostalkovy,Austrian Empire
Graber (Kravare), Ceska Lipa, Liberecky, Czech Republic,503757,142333,Kravare,Austrian Empire
Gradlitz bei Koeniginhof (Choustnikovo Hradiste), Trutnov, Kralovehradecky, Czech Republic,502535,155243,Choustníkovo Hradiste,Austrian Empire
Graetz (Hradec nad Moravici), Opava, Moravskoslezsky, Czech Republic,495216,175233,Hradec nad Moravicí,Austrian Empire
Grasengruen (Hajek), Karlovy Vary, Karlovarsky, Czech Republic,501700,125511,Hájek,Austrian Empire
Graslitz (Kraslice), Sokolov, Karlovarsky, Czech Republic,501926,123103,Kraslice,Austrian Empire
Gratzen (Nove Hrady), Ceske Budejovice, Jihocesky, Czech Republic,484723,144642,Nové Hrady,Austrian Empire
Graupen (Krupka), Teplice, Ustecky, Czech Republic,504104,135130,Krupka,Austrian Empire
Gross Barbitz (Babice), Praha-východ, Stredocesky, Czech Republic,500028,144253,Babice,Austrian Empire
Gross Bocken (Velka Bukovina), Decin, Ustecky, Czech Republic,504350,142348,Velká Bukovina,Austrian Empire
Gross Borowitz (Borovnice), Trutnov, Kralovehradecky, Czech Republic,503033,153648,Borovnice,Austrian Empire
Gross Darkowitz (Darkovice), Opava, Moravskoslezsky, Czech Republic,495609,181320,Darkovice,Austrian Empire
Gross Dobra (Velka Dobra), Kladno, Stredocesky, Czech Republic,500635,140412,Velká Dobrá,Austrian Empire
Gross Heilendorf (Postrelmov), Sumperk, Olomoucky, Czech Republic,495427,165444,Postrelmov,Austrian Empire
Gross Herrlitz (Velke Heraltice), Opava, Moravskoslezsky, Czech Republic,495830,174344,Velké Heraltice,Austrian Empire
Gross Hluschitz (Hlusice), Hradec Kralove, Kralovehradecky, Czech Republic,501553,152412,Hlušice,Austrian Empire
Gross Holetitz (Holedec), Louny, Ustecky, Czech Republic,501639,133347,Holedec,Austrian Empire
Gross Hoschuetz (Velke Hostice), Opava, Moravskoslezsky, Czech Republic,495610,175826,Velké Hoštice,Austrian Empire
Gross Jessenitz (Velka Jesenice), Nachod, Kralovehradecky, Czech Republic,502140,160216,Velká Jesenice,Austrian Empire
Gross Kaudern (Chuderov), Usti nad Labem, Ustecky, Czech Republic,504119,140247,Chuderov,Austrian Empire
Gross Kunzendorf (Kuncice), Ostrava-mesto, Moravskoslezsky, Czech Republic,494725,181731,Kuncice,Austrian Empire
Gross Kunzendorf (Velke Kunetice), Jesenik, Olomoucky, Czech Republic,501900,171558,Velke Kunetice,Austrian Empire
Gross Latein (Slatinice), Olomouc, Olomoucky, Czech Republic,493342,170600,Slatinice,Austrian Empire
Gross Ledhuje (Velka Ledhuje), Nachod, Kralovehradecky, Czech Republic,503207,161429,Velká Ledhuje,Austrian Empire
Gross Mergthal (Marenice), Ceska Lipa, Liberecky, Czech Republic,504825,144042,Mafenice,Austrian Empire
Gross Morschin (Morina), Beroun, Stredocesky, Czech Republic,495711,141231,Mofina,Austrian Empire
Gross Olbersdorf (Velke Albrechtice), Novy Jicin, Moravskoslezsky, Czech Republic,494502,180238,Velké Albrechtice,Austrian Empire
Gross Peterswald (Petrvald), Novy Jicin, Moravskoslezsky, Czech Republic,494231,180926,Petfvald,Austrian Empire
Gross Poritsch (Velke Porici), Nachod, Kralovehradecky, Czech Republic,502724,161122,Velke Pofici,Austrian Empire
Gross Pritotschno (Velke Pritocno), Kladno, Stredocesky, Czech Republic,500700,140742,Velke Pfitocno,Austrian Empire
Gross Rasel (Rajec), Sumperk, Olomoucky, Czech Republic,495123,165411,Rájec,Austrian Empire
Gross Schoenau (Velky Senov), Decin, Ustecky, Czech Republic,505845,142414,Velký Šenov,Austrian Empire
Gross Schwadowitz (Velke Svatonovice), Trutnov, Kralovehradecky, Czech Republic,503154,160143,Velke Svatonovice,Austrian Empire
Gross Senitz (Senice na Hane), Olomouc, Olomoucky, Czech Republic,493726,170509,Senice na Hané,Austrian Empire
Gross Sichdichfuer (Velka Hledsebe), Cheb, Karlovarsky, Czech Republic,495740,124002,Velka Hled'sebe,Austrian Empire
Gross Skal (Hruba Skala), Semily, Liberecky, Czech Republic,503228,151211,Hrubá Skála,Austrian Empire
Gross Teinitz (Velky Tynec), Olomouc, Olomoucky, Czech Republic,493307,172015,Velký Týnec,Austrian Empire
Gross Tschochau (rehlovice), Usti nad Labem, Ustecky, Czech Republic,503626,135715,Rehlovice,Austrian Empire
Gross Ullersdorf (Velke Losiny), Sumperk, Olomoucky, Czech Republic,500155,170226,Velké Losiny,Austrian Empire
Gross Wisternitz (Velka Bystrice), Olomouc, Olomoucky, Czech Republic,493539,172150,Velka Bystfice,Austrian Empire
Gross-Aujezd (Velky Ujezd), Olomouc, Olomoucky, Czech Republic,493443,172900,Velký Újezd,Austrian Empire
Grossdorf (Velka Ves), Nachod, Kralovehradecky, Czech Republic,503458,162039,Velká Ves,Austrian Empire
Gross-Krosse (Velka Kras), Jesenik, Olomoucky, Czech Republic,502147,170847,Velká Kraš,Austrian Empire
Gross-Malowitz (Malovice), Prachatice, Jihocesky, Czech Republic,490529,141333,Malovice,Austrian Empire
Grosspriesen (Velke Brezno), Usti nad Labem, Ustecky, Czech Republic,503946,140831,Velke Bfezno,Austrian Empire
Gross-Skalitz (Skalice), Hradec Kralove, Kralovehradecky, Czech Republic,501635,155220,Skalice,Austrian Empire
Gross-Umlowitz (Omlenice), Cesky Krumlov, Jihocesky, Czech Republic,484633,142637,Omlenice,Austrian Empire
Gross-Zdikau (Zdikov), Prachatice, Jihocesky, Czech Republic,490505,134151,Zdíkov,Austrian Empire
Grottau (Hradek nad Nisou), Liberec, Liberecky, Czech Republic,505113,145042,Hrádek nad Nisou,Austrian Empire
Gruegau (Grygov), Olomouc, Olomoucky, Czech Republic,493216,171839,Grygov,Austrian Empire
Gruenlas (Loucky), Sokolov, Karlovarsky, Czech Republic,501226,124509,Loucky,Austrian Empire
Guentersdorf (Huntirov), Decin, Ustecky, Czech Republic,504722,141813,Huntifov,Austrian Empire
Gurschdorf (Skorosice), Jesenik, Olomoucky, Czech Republic,501831,170451,Skorošice,Austrian Empire
Gutwasser (Dobra Voda u Ceskych Budejovic), Ceske Budejovice, Jihocesky, Czech Republic,485806,143130,Dobra Voda u Ceskych Budejovic,Austrian Empire
Gutwasser (Dobra Voda u Horic), Jicin, Kralovehradecky, Czech Republic,502053,153610,Dobra Voda u Hofic,Austrian Empire
