line_id,code,jg_id,ejl_line,name,dist,prov,area,region,prov1900,prov1930,jg_dist,jg_dist1930,country1900,country1930
489,PRU_OST_GRSS,-502348,1694,Goraj,Bilgoraj,Lublin,Congress Poland,Lublin,Lublin,Lublin,Zamost'e,Biłgoraj,Russian Empire,Poland
490,KHR_TRS_GRSS,-502357,1695,Góra Kalwaria,Grojec,Warszawa,Congress Poland,Warsaw,Warszawa,Warszawa,Groitsy,Grójec,Russian Empire,Poland
491,MNS_SLT_GRZV,,1696,Gora Wisniowa,Lodz,Piotrkow,Congress Poland,Lodz,,,,,,
492,PRU_WST_GRDN,-1047425,1700,Gorkaia,Aleksandrovsk,Ekaterinoslav,Mainland Russia,Zaporozhe,Ekaterinoslav,Ukraine SSR,Aleksandrovsk,Zaporozhe,Russian Empire,Soviet Union
493,KVN_SHV_GRDZ,-1943561,1701,Gorki,Gorki,Mogilev,Pale,Mogilev,Mogilev,Belarus SSR,Gorki,Mogilev,Russian Empire,Soviet Union
494,GLC_CRC_GRYB,-502493,1702,Gorlice,Gorlice,Galicia,Galicia,Cracow,Galicia,Kraków,Gorlice,Gorlice,Austrian Empire,Poland
495,GLC_TRN_GRZY,-1040044,1703,Gorlovka,Bakhmut,Ekaterinoslav,Mainland Russia,Stalino,Ekaterinoslav,Ukraine SSR,Bakhmut,Stalino,Russian Empire,Soviet Union
496,SWL_MRM_GDL,-1039397,1705,Gornostaipol,Radomysl,Kiev,Pale,Kiev,Kiev,Ukraine SSR,Radomysl',Kiev,Russian Empire,Soviet Union
497,PRU_PMM_GLZW,-1946198,1706,Gorodets,Rogachev,Mogilev,Pale,Gomel,Mogilev,Belarus SSR,Rogachev,Gomel,Russian Empire,Soviet Union
498,EKT_ALK_GLPL,-1943311,1707,Gorodok,Gorodok,Vitebsk,Pale,Vitebsk,Vitebsk,Belarus SSR,Gorodok,Vitebsk,Russian Empire,Soviet Union
499,LVL_VLK_GLBN,-1040045,1708,Gorodok,Kamenets-Podolsk,Podolia,Pale,Kamenets-Podolski,Podolia,Ukraine SSR,Kamenets-Podol'sk,Kamenets-Podolski,Russian Empire,Soviet Union
500,PRU_OST_GMBN_2,-1039430,1709,Gorodishche,Cherkasy,Kiev,Pale,Kiev,Kiev,Ukraine SSR,Cherkasy,Kiev,Russian Empire,Soviet Union
501,MGL_ORS_GSN,-1943333,1711,Gorval,Riechitsa,Minsk,Pale,Gomel,Minsk,Belarus SSR,Riechitsa,Gomel,Russian Empire,Soviet Union
502,PRU_OST_GTTS,-1943335,1712,Gory,Chausy,Mogilev,Pale,Mogilev,Mogilev,Belarus SSR,Chausy,Mogilev,Russian Empire,Soviet Union
503,GLC_STN_GWZD,-502638,1713,Gorzków,Krasnystaw,Lublin,Congress Poland,Lublin,Lublin,Lublin,Krasnostav,Krasnystaw,Russian Empire,Poland
504,SML_GZH_GZHT,-3208533,1716,Glazmanka,Dvinsk,Vitebsk,Pale,Zemgale,Vitebsk,Latgale,Dvinsk,Daugavpils,Russian Empire,Soviet Union
505,GRD_PRZ_GNVK,-1039545,1717,Gostomel,Kiev,Kiev,Pale,Kiev,Kiev,Ukraine SSR,Kiev,Kiev,Russian Empire,Soviet Union
506,GLC_STN_HLCZ,-502790,1718,Gostynin,Gostyn,Warszawa,Congress Poland,Warsaw,Warszawa,Warszawa,Gostynin,Gostynin,Russian Empire,Poland
507,PRU_WST_HMMR,-502809,1719,Goszczyn,Grojec,Warszawa,Congress Poland,Warsaw,Warszawa,Warszawa,Groitsy,Grójec,Russian Empire,Poland
508,PRU_OST_HLSB,-502823,1722,Gowarczów,Konskie,Radom,Congress Poland,Lodz,Radom,Kielce,Konsk,Końskie,Russian Empire,Poland
509,VLN_DSN_GRMN,-502836,1723,Govorovo,Ostrolenka,Lomza,Congress Poland,Bialystok,Łomża,Białystok,Ostrolenka,Ostrołęka,Russian Empire,Poland
510,VLH_KVL_VLKG,-502639,1724,Gorzkowice,Piotrkow,Piotrkow,Congress Poland,Lodz,Piotrków,Łódż,Petrokov,Piotrków,Russian Empire,Poland
511,GLC_STN_HNZD,-502999,1726,Grabów,Leczyca,Kalisz,Congress Poland,Lodz,Kalisz,Łódż,Lenchitsa,Łęczyca,Russian Empire,Poland
512,VLN_SVN_GDTS,-1039563,1727,Grabowiec,Bohorodczany,Galicia,Galicia,Stanislawow,Galicia,Stanisławów,Bohorodczany,Bohorodczany,Austrian Empire,Soviet Union
